station_id,fuel_code,price_eur,date
2049,dizel,1.894,2026-04-08
2049,100,1.905,2026-04-08
2049,KOEL,1.555,2026-04-08
2050,95,1.653,2026-04-08
2050,dizel,1.894,2026-04-08
2051,95,1.653,2026-04-08
2051,dizel,1.894,2026-04-08
2051,KOEL,1.555,2026-04-08
2052,95,1.653,2026-04-08
2052,dizel,1.894,2026-04-08
2052,100,1.905,2026-04-08
2053,95,1.653,2026-04-08
2053,dizel,1.894,2026-04-08
2053,KOEL,1.555,2026-04-08
2054,95,1.653,2026-04-08
2054,dizel,1.894,2026-04-08
2054,KOEL,1.555,2026-04-08
2055,95,1.653,2026-04-08
2055,dizel,1.894,2026-04-08
2056,95,1.653,2026-04-08
2056,dizel,1.894,2026-04-08
2056,100,1.905,2026-04-08
2056,dizel-premium,2.369,2026-04-08
2057,95,1.653,2026-04-08
2057,dizel,1.894,2026-04-08
2058,95,1.653,2026-04-08
2058,dizel,1.894,2026-04-08
2061,95,1.653,2026-04-08
2061,dizel,1.894,2026-04-08
2061,100,1.905,2026-04-08
2061,KOEL,1.555,2026-04-08
2062,95,1.653,2026-04-08
2062,dizel,1.894,2026-04-08
2062,100,1.905,2026-04-08
2062,KOEL,1.555,2026-04-08
2063,95,1.653,2026-04-08
2063,dizel,1.894,2026-04-08
2063,100,1.905,2026-04-08
2064,95,1.653,2026-04-08
2064,dizel,1.894,2026-04-08
2064,100,1.905,2026-04-08
2064,KOEL,1.555,2026-04-08
2066,95,1.653,2026-04-08
2066,dizel,1.894,2026-04-08
2066,KOEL,1.555,2026-04-08
2067,95,1.653,2026-04-08
2067,dizel,1.894,2026-04-08
2067,100,1.905,2026-04-08
2067,dizel-premium,2.369,2026-04-08
2067,KOEL,1.555,2026-04-08
2068,95,1.653,2026-04-08
2068,dizel,1.894,2026-04-08
2068,dizel-premium,2.369,2026-04-08
2069,95,1.653,2026-04-08
2069,dizel,1.894,2026-04-08
2069,100,1.905,2026-04-08
2069,dizel-premium,2.369,2026-04-08
2070,95,1.653,2026-04-08
2070,dizel,1.894,2026-04-08
2070,100,1.905,2026-04-08
2070,KOEL,1.555,2026-04-08
2071,95,1.653,2026-04-08
2071,dizel,1.894,2026-04-08
2071,100,1.905,2026-04-08
2071,dizel-premium,2.369,2026-04-08
2071,avtoplin-lpg,1.049,2026-04-08
2071,KOEL,1.555,2026-04-08
2072,95,1.653,2026-04-08
2072,dizel,1.894,2026-04-08
2072,KOEL,1.555,2026-04-08
2073,95,1.653,2026-04-08
2073,dizel,1.894,2026-04-08
2073,100,1.905,2026-04-08
2073,KOEL,1.555,2026-04-08
2074,95,1.653,2026-04-08
2074,dizel,1.894,2026-04-08
2074,100,1.905,2026-04-08
2074,avtoplin-lpg,1.049,2026-04-08
2074,KOEL,1.555,2026-04-08
2075,95,1.653,2026-04-08
2075,dizel,1.894,2026-04-08
2075,KOEL,1.555,2026-04-08
2076,95,1.653,2026-04-08
2076,dizel,1.894,2026-04-08
2076,KOEL,1.555,2026-04-08
2077,95,1.653,2026-04-08
2077,dizel,1.894,2026-04-08
2077,KOEL,1.555,2026-04-08
2078,95,1.653,2026-04-08
2078,dizel,1.894,2026-04-08
2078,KOEL,1.555,2026-04-08
2079,95,1.653,2026-04-08
2079,dizel,1.894,2026-04-08
2079,KOEL,1.555,2026-04-08
2080,95,1.653,2026-04-08
2080,dizel,1.894,2026-04-08
2080,100,1.905,2026-04-08
2080,avtoplin-lpg,1.049,2026-04-08
2080,KOEL,1.555,2026-04-08
2082,95,1.653,2026-04-08
2082,dizel,1.894,2026-04-08
2082,100,1.905,2026-04-08
2082,KOEL,1.555,2026-04-08
2083,95,1.653,2026-04-08
2083,dizel,1.894,2026-04-08
2083,avtoplin-lpg,1.049,2026-04-08
2083,KOEL,1.555,2026-04-08
2084,95,1.653,2026-04-08
2084,dizel,1.894,2026-04-08
2084,100,1.905,2026-04-08
2084,dizel-premium,2.369,2026-04-08
2084,KOEL,1.555,2026-04-08
2085,95,1.653,2026-04-08
2085,dizel,1.894,2026-04-08
2086,95,1.653,2026-04-08
2086,dizel,1.894,2026-04-08
2086,KOEL,1.555,2026-04-08
2087,95,1.653,2026-04-08
2087,dizel,1.894,2026-04-08
2087,KOEL,1.555,2026-04-08
2090,95,1.653,2026-04-08
2090,dizel,1.894,2026-04-08
2090,100,1.905,2026-04-08
2090,KOEL,1.555,2026-04-08
